u,v,name,length,edge_key,ping_count
1720197783,5608710339,Ring Road Utara,59.521,1720197783_5608710339,2006
5358434365,11330787340,Jalan Magelang,15.525,5358434365_11330787340,1999
7281592186,1721446200,Ring Road Utara,44.388,7281592186_1721446200,1984
1390872254,7642460134,Jalan Affandi,35.018,1390872254_7642460134,1983
1720272202,4670241374,Jalan Padjajaran,22.318,1720272202_4670241374,1976
10303552087,7687120468,Jalan Padjajaran,85.049,10303552087_7687120468,1944
1720135464,1720135466,Jalan Padjajaran,46.429,1720135464_1720135466,1931
10296080625,7537982149,Jalan Siliwangi,39.081,10296080625_7537982149,1889
822593309,3669798882,Jalan Palagan Tentara Pelajar,27.885,822593309_3669798882,1885
13248026065,7538042791,Jalan Siliwangi,219.291,13248026065_7538042791,1827
5610726954,8894062701,Jalan Padjajaran,29.618,5610726954_8894062701,1775
10309650246,4670241360,Jalan Kaliurang,19.292,10309650246_4670241360,1767
2167607041,5563305286,Ring Road Utara,62.027,2167607041_5563305286,1727
1795102960,5610495421,Ring Road Utara,90.63,1795102960_5610495421,1710
3661881758,1720321713,Jalan Magelang,54.688,3661881758_1720321713,1638
9860343124,1720135548,Jalan Affandi,15.172,9860343124_1720135548,1637
5207808660,5610495435,Ring Road Utara,9.105,5207808660_5610495435,1617
1720135486,1720135503,Jalan Padjajaran,38.343,1720135486_1720135503,1615
3661572543,3661800041,Jalan Nyi Tjondro Loekito,31.715,3661572543_3661800041,1602
5606651367,1795103005,Ring Road Utara,61.361,5606651367_1795103005,1601
1720135466,13158540178,Jalan Padjajaran,40.331,1720135466_13158540178,1586
5608710338,7281592186,Ring Road Utara,46.805,5608710338_7281592186,1579
5608710349,5608710348,Ring Road Utara,79.002,5608710349_5608710348,1570
5608710355,1795102971,Jalan Siliwangi,16.18,5608710355_1795102971,1550
8461422022,1720135785,Ring Road Utara,25.766,8461422022_1720135785,1550
5563305315,2167607041,Ring Road Utara,57.006,5563305315_2167607041,1536
4670241368,3625423033,Ring Road Utara,30.566,4670241368_3625423033,1529
1720135509,5421635063,Jalan Padjajaran,79.205,1720135509_5421635063,1522
8744501735,3661881758,Jalan Magelang,57.726,8744501735_3661881758,1505
1720197702,1720197705,Jalan Padjajaran,33.679,1720197702_1720197705,1493
2868015607,1720197857,Ring Road Utara,27.621,2868015607_1720197857,1481
1391280747,5555924345,Jalan Anggajaya 1,21.327,1391280747_5555924345,1472
3309285561,7668725524,Jalan Magelang,57.186,3309285561_7668725524,1435
1720272173,5544339276,Jalan Anggajaya 1,32.348,1720272173_5544339276,1430
13248032803,13248032802,Jalan Siliwangi,138.81,13248032803_13248032802,1422
6877217689,5558739367,Ring Road Utara,38.439,6877217689_5558739367,1412
13158540178,1720135476,Jalan Padjajaran,37.565,13158540178_1720135476,1409
5610495319,5610515353,Ring Road Utara,36.578,5610495319_5610515353,1396
12545957373,12545957376,Jalan Palagan Tentara Pelajar,19.716,12545957373_12545957376,1393
1720197832,1720197837,Ring Road Utara,26.426,1720197832_1720197837,1380
1720197726,13737613592,Jalan Padjajaran,32.167,1720197726_13737613592,1377
5610495435,5563305285,Ring Road Utara,56.618,5610495435_5563305285,1377
1720197861,1720197860,Ring Road Utara,35.312,1720197861_1720197860,1375
1391280747,5811731908,Jalan Anggajaya 1,14.037,1391280747_5811731908,1318
1720272160,5606095730,Jalan Siliwangi,83.668,1720272160_5606095730,1300
4667313114,2565951995,Jalan Ring Road Utara,69.428,4667313114_2565951995,1298
5563305285,7290361558,Ring Road Utara,26.664,5563305285_7290361558,1298
5608710348,6457482447,Ring Road Utara,36.395,5608710348_6457482447,1278
8451838999,3661948633,Ring Road Utara,30.513,8451838999_3661948633,1243
5606290466,5606290455,Ring Road Utara,57.103,5606290466_5606290455,1233
5610495431,3636570876,Ring Road Utara,29.907,5610495431_3636570876,1224
3661948633,5234366135,Ring Road Utara,28.507,3661948633_5234366135,1209
4989720244,1720197724,Jalan Padjajaran,22.299,4989720244_1720197724,1208
1720135479,1720135486,Jalan Padjajaran,35.645,1720135479_1720135486,1204
1720197734,7601432326,Ring Road Utara,56.79,1720197734_7601432326,1186
1654232395,2882805684,Jalan Palagan Tentara Pelajar,57.127,1654232395_2882805684,1185
2138725533,5558739376,Jalan Pawiro Kuat,8.787,2138725533_5558739376,1183
1720197724,8446425686,Jalan Padjajaran,19.605,1720197724_8446425686,1179
5608710353,5608710336,Ring Road Utara,50.245,5608710353_5608710336,1156
5198170892,5558134016,Jalan Anggajaya 1,25.277,5198170892_5558134016,1151
8451839000,8451838999,Ring Road Utara,27.378,8451839000_8451838999,1140
5859399086,5608710353,Ring Road Utara,59.958,5859399086_5608710353,1138
1721446186,4670241359,Jalan Kaliurang,7.847,1721446186_4670241359,1134
7290361558,1720135648,Ring Road Utara,28.294,7290361558_1720135648,1123
1654232376,2882805687,Jalan Palagan Tentara Pelajar,33.093,1654232376_2882805687,1110
7595379700,5608710349,Ring Road Utara,21.426,7595379700_5608710349,1097
1720135674,5610495425,Ring Road Utara,29.886,1720135674_5610495425,1068
9819785509,5610495452,Jalan Padjajaran,21.989,9819785509_5610495452,1067
2882833292,6763210243,Jalan Kaliurang,31.375,2882833292_6763210243,1059
8976653593,9819785513,Jalan Pawiro Kuat,24.553,8976653593_9819785513,1055
3662557435,2930657889,Ring Road Utara,16.532,3662557435_2930657889,1050
13737613572,4670241352,Jalan Padjajaran,12.322,13737613572_4670241352,1050
1720197652,7538042788,Jalan Siliwangi,72.057,1720197652_7538042788,1048
12513731136,7675872274,Jalan Kaliurang,17.686,12513731136_7675872274,1022
276915740,8448600519,Jalan Nyi Tjondro Loekito,18.513,276915740_8448600519,1021
1720135741,1720135752,Ring Road Utara,48.439,1720135741_1720135752,999
3661880062,3661880070,Jalan Siliwangi,97.866,3661880062_3661880070,997
7290083807,7290083806,Ring Road Utara,5.012,7290083807_7290083806,994
2882805687,2978412361,Jalan Palagan Tentara Pelajar,33.201,2882805687_2978412361,990
6457482447,5608710346,Ring Road Utara,48.274,6457482447_5608710346,987
1720135476,7642222907,Jalan Padjajaran,29.338,1720135476_7642222907,986
7281592185,10705877968,Jalan Kaliurang,15.679,7281592185_10705877968,978
1720197850,1720197852,Ring Road Utara,19.981,1720197850_1720197852,953
1795102971,3309295161,Jalan Siliwangi,21.515,1795102971_3309295161,951
5558739682,5563305375,Jalan Pawiro Kuat,28.15,5558739682_5563305375,947
3661881778,8436572436,Jalan Nyi Tjondro Loekito,19.282,3661881778_8436572436,939
1720197708,7687162294,Jalan Padjajaran,28.742,1720197708_7687162294,938
12165261069,4670241370,Jalan Kaliurang,10.71,12165261069_4670241370,937
5608710339,5608710338,Ring Road Utara,40.173,5608710339_5608710338,933
1720272207,9860343124,Jalan Affandi,12.926,1720272207_9860343124,931
9512765875,1720197730,Ring Road Utara,31.58,9512765875_1720197730,925
9154908364,1720197834,Ring Road Utara,32.049,9154908364_1720197834,916
1654232376,3669798882,Jalan Palagan Tentara Pelajar,22.252,1654232376_3669798882,907
5234366135,1720197830,Ring Road Utara,15.588,5234366135_1720197830,906
1720135664,5606290464,Ring Road Utara,32.334,1720135664_5606290464,901
1720135503,7642222906,Jalan Padjajaran,27.811,1720135503_7642222906,897
8451826123,7634566882,Jalan Affandi,7.477,8451826123_7634566882,893
7687162294,10303552087,Jalan Padjajaran,31.316,7687162294_10303552087,889
5606095730,5608710355,Jalan Siliwangi,27.22,5606095730_5608710355,888
8451920544,5610726954,Jalan Padjajaran,13.723,8451920544_5610726954,880
