Bulan,Total_Rows,OD_Pairs,OD_Moving,Pct_Moving,Median_Dist_km,Mean_Dist_km,Top_Route,Top_Flow
2021_10_Oktober,12123709,343616,27010,7.860518718569566,6.996587753295898,10.504229545593262,5_4->6_4,1504
2021_11_November,119072431,2248164,180740,8.039449079337627,7.313087463378906,10.098119735717773,7_4->6_4,11825
2021_12_Desember,45950349,2295635,195484,8.515465219862914,10.195884704589844,11.632729530334473,6_4->7_4,9793
2022_01_Januari,22488991,1251368,119882,9.580075565301334,8.94454288482666,11.035324096679688,7_4->6_4,7353
2022_02_Februari,39601774,1289559,135196,10.483894106434835,9.145682334899902,11.458630561828613,7_4->6_4,9950
2022_03_Maret,26837642,604847,51589,8.529264425548941,9.824252128601074,11.423961639404297,7_4->6_4,7433
2022_04_April,1048571,76814,11773,15.326633165829145,9.696075439453125,10.989323616027832,7_4->6_4,1219
2022_05_Mei,31075611,1263814,125232,9.909053072683163,9.815502166748047,12.026500701904297,7_4->6_4,9318
2022_06_Juni,12246261,400876,39227,9.785320148873966,9.038339614868164,11.52016830444336,6_4->7_4,3230
