kronggahan,jombor,monjali,kentungan,condongcatur,upn
4,0,2,0,0,2
0,7,1,1,0,0
1,1,7,0,0,2
0,0,0,7,1,0
0,0,0,1,6,3
0,0,0,1,0,31
