kronggahan,jombor,monjali,kentungan,condongcatur,upn
426,87,97,33,67,40
97,523,188,65,94,70
104,138,1186,159,231,153
42,47,196,761,162,99
60,72,272,144,1244,268
38,45,132,64,177,1175
