kronggahan,jombor,monjali,kentungan,condongcatur,upn
36,0,5,2,2,2
1,41,1,3,8,1
2,1,64,3,12,2
2,1,4,68,1,2
3,2,3,3,63,6
1,0,6,2,7,65
