kronggahan,jombor,monjali,kentungan,condongcatur,upn
21,2,1,0,1,5
4,42,9,4,0,0
7,6,38,3,2,5
0,3,1,76,10,6
2,0,2,3,48,7
2,1,14,7,7,138
