kronggahan,jombor,monjali,kentungan,condongcatur,upn
101,36,38,15,30,14
31,131,62,17,27,18
18,60,284,50,53,36
11,9,43,204,63,21
22,12,87,39,334,81
12,4,38,16,60,337
