kronggahan,jombor,monjali,kentungan,condongcatur,upn
592,158,186,58,143,107
205,623,302,95,170,147
187,173,1277,185,330,243
78,72,262,808,246,163
118,90,352,231,1394,455
71,50,250,77,334,1656
