kronggahan,jombor,monjali,kentungan,condongcatur,upn
212,53,49,19,37,23
43,229,82,35,61,25
54,69,534,64,122,74
18,15,76,379,65,45
37,32,122,62,637,128
21,19,60,34,97,746
