kronggahan,jombor,monjali,kentungan,condongcatur,upn
17,0,2,0,1,1
2,21,5,1,0,1
2,0,37,2,1,4
0,0,3,36,2,4
0,1,1,3,29,7
1,0,3,3,9,64
