Bulan,Total_Points,Dominant_Daypart,Mean_Top_Share,Pagi_Malam_Shift_km,Dini_Siang_Shift_km,Max_Centroid_Shift_km
2021_10_Oktober,12123709,Malam,0.027406462970372775,1.1666500776465205,0.16240591513430794,1.4202364035680484
2021_11_November,119072431,Malam,0.031344132834147026,0.9971241454272074,0.620270798647475,1.0902355655261913
2021_12_Desember,45950349,Dini Hari,0.057423434641372825,0.2578445858059637,0.31988645431883483,0.3791473263154292
2022_01_Januari,22488991,Dini Hari,0.03468851062045538,0.5170116888912104,0.36580673909014033,0.5893768121281884
2022_02_Februari,39601774,Malam,0.051423498440933746,0.6240315886053361,0.13173621005626313,0.8109621536273783
2022_03_Maret,26837642,Dini Hari,0.1452356663169037,1.4988820375213525,0.9478955207077112,1.696806638695607
2022_04_April,1048571,Malam,0.09737465306327467,0.7827712750980929,0.5372966959771662,0.7827712750980929
2022_05_Mei,31075611,Malam,0.13615059618470063,0.24771159547407634,0.40228050947369187,0.4926254587262028
2022_06_Juni,12246261,Malam,0.10000077353455121,0.4560198833927414,0.23236346900476837,0.5131499512127125
