kronggahan,jombor,monjali,kentungan,condongcatur,upn
1419,338,380,127,281,195
384,1632,651,222,361,262
375,448,3438,466,752,522
151,148,585,2341,553,340
242,209,842,486,3765,956
147,120,504,205,692,4228
