kronggahan,jombor,monjali,kentungan,condongcatur,upn
975,227,259,91,214,137
271,1135,449,134,247,165
270,288,2370,321,495,357
110,92,396,1625,378,234
167,152,587,308,2549,659
116,79,342,137,502,2995
