kronggahan,jombor,monjali,kentungan,condongcatur,upn
1054,247,275,90,212,147
280,1227,481,165,278,185
266,353,2582,366,577,381
101,119,446,1824,440,264
181,159,614,367,2903,744
109,89,363,159,511,3087
