kronggahan,jombor,monjali,kentungan,condongcatur,upn
444,111,121,36,67,58
113,497,202,88,114,97
105,160,1068,145,257,165
41,56,189,716,175,106
75,57,255,178,1216,297
31,41,162,68,190,1233
