kronggahan,jombor,monjali,kentungan,condongcatur,upn
120,40,33,11,21,24
34,135,54,22,37,35
28,46,297,49,83,44
15,11,40,195,36,37
21,20,77,63,320,103
17,16,52,16,54,310
