kronggahan,jombor,monjali,kentungan,condongcatur,upn
14,2,1,0,2,1
0,27,6,2,0,1
4,1,24,3,2,4
1,0,2,14,2,4
0,2,7,4,19,8
0,1,2,2,7,37
