kronggahan,jombor,monjali,kentungan,condongcatur,upn
114,33,37,11,28,18
24,108,52,13,38,24
19,30,241,29,76,38
6,17,34,190,70,30
7,13,64,25,327,75
7,9,47,11,65,298
