kronggahan,jombor,monjali,kentungan,condongcatur,upn
50,4,20,22,9,10
10,44,15,7,13,6
15,10,138,13,35,20
6,9,20,77,19,7
9,10,38,30,123,22
13,4,25,6,41,238
