kronggahan,jombor,monjali,kentungan,condongcatur,upn
119,29,38,5,24,9
35,131,50,23,24,29
30,35,278,25,41,49
9,6,44,161,30,27
18,17,97,34,285,73
13,8,37,5,50,289
