kronggahan,jombor,monjali,kentungan,condongcatur,upn
113,29,33,13,22,16
34,116,66,15,27,16
43,39,289,46,55,60
16,12,56,181,49,33
26,17,56,53,307,93
15,8,34,22,56,342
