kronggahan,jombor,monjali,kentungan,condongcatur,upn
21,5,0,0,2,4
4,26,10,1,5,0
4,9,70,7,9,4
0,2,11,58,9,2
2,4,8,13,68,12
0,1,14,4,4,62
