kronggahan,jombor,monjali,kentungan,condongcatur,upn
45,7,10,0,4,3
8,65,17,5,7,6
8,18,118,15,9,17
4,3,19,91,16,6
15,9,33,10,152,28
3,5,10,6,9,137
