kronggahan,jombor,monjali,kentungan,condongcatur,upn
18,6,9,2,2,0
3,38,11,4,6,1
3,8,53,2,5,4
4,3,6,48,9,1
3,2,12,7,72,14
0,1,4,9,12,88
