kronggahan,jombor,monjali,kentungan,condongcatur,upn
6,4,0,0,0,1
0,7,0,0,1,0
0,0,20,2,1,0
0,0,3,9,1,1
1,0,3,0,4,1
0,1,0,1,2,20
