kronggahan,jombor,monjali,kentungan,condongcatur,upn
109,28,23,11,26,5
31,116,52,27,15,18
18,40,231,30,67,36
9,13,41,180,41,36
20,12,74,34,253,78
10,8,39,22,64,312
