kronggahan,jombor,monjali,kentungan,condongcatur,upn
53,2,3,1,9,7
15,82,34,5,7,7
5,32,160,23,23,12
4,4,31,106,25,10
12,6,38,19,173,28
7,4,8,12,19,134
