kronggahan,jombor,monjali,kentungan,condongcatur,upn
113,46,22,6,23,19
45,164,70,15,36,25
47,33,276,38,69,53
28,10,54,185,42,29
26,12,60,31,291,72
6,13,52,27,59,388
