kronggahan,jombor,monjali,kentungan,condongcatur,upn
93,27,33,9,29,12
29,95,38,14,32,13
46,32,239,32,74,34
7,15,55,115,51,25
9,11,37,12,259,60
11,8,38,14,57,292
