kronggahan,jombor,monjali,kentungan,condongcatur,upn
7,0,0,0,0,0
0,4,0,0,2,0
2,0,10,1,0,0
0,0,0,11,3,0
1,1,1,1,7,4
1,2,3,2,2,20
