kronggahan,jombor,monjali,kentungan,condongcatur,upn
83,12,25,4,13,10
14,66,35,12,10,17
17,17,164,24,30,19
7,4,21,94,22,13
8,11,33,24,163,45
6,6,27,8,31,226
