kronggahan,jombor,monjali,kentungan,condongcatur,upn
119,24,40,16,29,31
29,117,50,19,44,21
26,28,239,50,62,35
13,14,49,198,58,31
30,24,68,42,269,99
20,10,42,16,61,323
