kronggahan,jombor,monjali,kentungan,condongcatur,upn
60,11,11,7,17,15
27,94,33,10,15,12
20,24,151,22,25,36
8,6,28,122,25,23
10,8,48,17,161,50
8,4,26,9,36,264
