kronggahan,jombor,monjali,kentungan,condongcatur,upn
5,2,1,0,0,2
2,8,3,0,1,4
3,3,20,1,2,3
0,3,5,26,2,0
0,3,4,2,38,8
0,1,1,0,3,31
