kronggahan,jombor,monjali,kentungan,condongcatur,upn
12,3,4,2,0,1
1,14,1,2,3,2
0,3,31,4,4,3
1,4,7,35,5,3
4,2,7,9,58,8
1,1,0,0,4,55
