kronggahan,jombor,monjali,kentungan,condongcatur,upn
63,10,15,3,8,1
16,83,22,12,17,9
17,17,171,22,32,20
4,9,29,100,15,10
9,5,31,20,185,30
2,4,14,5,18,149
