kronggahan,jombor,monjali,kentungan,condongcatur,upn
4,0,0,1,0,0
1,7,5,1,2,0
2,0,17,0,1,2
0,0,3,13,4,0
0,0,3,0,19,3
0,0,1,1,2,12
