kronggahan,jombor,monjali,kentungan,condongcatur,upn
71,13,22,3,13,6
21,77,23,11,18,16
18,23,185,26,46,27
9,3,25,115,19,12
11,20,40,34,196,38
6,5,26,7,33,175
