ping_bin,n_trips,pct,n_pings_total
1,0,0.0,0
2,4338,29.07701588578323,8676
3,2629,17.621824519069644,7887
4–5,3156,21.154232857430124,13906
6–10,3143,21.067095649842482,23534
11–20,1333,8.934915208794155,18570
21–50,285,1.910315704805952,8101
51–100,34,0.22789731215228903,2331
>100,1,0.006702862122126148,102
