n_pings,n_trips,percent,cum_percent
2,4338,29.07701588578323,29.07701588578323
3,2629,17.621824519069644,46.698840404852874
4,1874,12.561163616864402,59.26000402171728
5,1282,8.593069240565722,67.853073262283
6,1010,6.76989074334741,74.62296400563041
7,749,5.020443729472484,79.6434077351029
8,583,3.907768617199544,83.55117635230243
9,443,2.969367920101883,86.52054427240432
10,358,2.399624639721161,88.92016891212549
11,267,1.7896641866076817,90.70983309873317
12,239,1.6019840471881492,92.31181714592132
13,170,1.139486560761445,93.45130370668276
14,187,1.2534352168375897,94.70473892352035
15,126,0.8445606273878947,95.54929955090824
16,108,0.7239091091896239,96.27320866009786
17,69,0.4624974864267042,96.73570614652456
18,70,0.46920034854883036,97.20490649507339
19,54,0.36195455459481196,97.5668610496682
20,43,0.2882230712514244,97.85508412091963
21,36,0.24130303639654133,98.09638715731617
22,36,0.24130303639654133,98.33769019371272
23,26,0.17427441517527986,98.511964608888
24,25,0.16757155305315372,98.67953616194114
25,18,0.12065151819827066,98.80018768013942
26,12,0.08043434546551377,98.88062202560494
27,14,0.09384006970976606,98.9744620953147
28,9,0.06032575909913533,99.03478785441384
29,10,0.06702862122126148,99.10181647563509
30,14,0.09384006970976606,99.19565654534486
31,7,0.04692003485488303,99.24257658019974
32,11,0.07373148334338762,99.31630806354313
33,7,0.04692003485488303,99.36322809839801
34,4,0.026811448488504593,99.39003954688651
35,2,0.013405724244252296,99.40344527113076
36,6,0.040217172732756885,99.44366244386352
37,5,0.03351431061063074,99.47717675447414
38,4,0.026811448488504593,99.50398820296265
39,4,0.026811448488504593,99.53079965145115
40,6,0.040217172732756885,99.5710168241839
41,8,0.053622896977009185,99.6246397211609
42,3,0.020108586366378443,99.64474830752728
43,1,0.006702862122126148,99.6514511696494
44,5,0.03351431061063074,99.68496548026003
46,2,0.013405724244252296,99.69837120450428
48,3,0.020108586366378443,99.71847979087066
49,5,0.03351431061063074,99.75199410148129
50,2,0.013405724244252296,99.76539982572554
51,1,0.006702862122126148,99.77210268784766
53,2,0.013405724244252296,99.78550841209191
54,2,0.013405724244252296,99.79891413633617
57,1,0.006702862122126148,99.80561699845829
58,3,0.020108586366378443,99.82572558482467
59,2,0.013405724244252296,99.83913130906892
60,2,0.013405724244252296,99.85253703331317
62,1,0.006702862122126148,99.8592398954353
64,2,0.013405724244252296,99.87264561967955
67,1,0.006702862122126148,99.87934848180167
70,2,0.013405724244252296,99.89275420604592
71,1,0.006702862122126148,99.89945706816805
72,2,0.013405724244252296,99.9128627924123
74,1,0.006702862122126148,99.91956565453442
75,3,0.020108586366378443,99.9396742409008
77,1,0.006702862122126148,99.94637710302293
79,1,0.006702862122126148,99.95307996514505
81,1,0.006702862122126148,99.95978282726718
85,1,0.006702862122126148,99.9664856893893
86,2,0.013405724244252296,99.97989141363355
92,1,0.006702862122126148,99.98659427575568
100,1,0.006702862122126148,99.9932971378778
102,1,0.006702862122126148,99.99999999999993
