maid,home_lat,home_lon,n_night_pings,n_total_pings
041c9b55-7dac-416b-a03d-6ca3c9ff8f9a,-7.7475,110.4125,8,724
0437170c-170c-bb9f-e953-2d8f46f334e1,-7.7475,110.3725,29,235
04388e01-69e1-4122-be87-d5274fc8256c,-7.7575,110.3625,83,90
04396767-774e-49df-b62c-131b40d58e5a,-7.7625,110.4275,147,287
0440ade4-011a-4bc8-9c6d-4b9e75ca61b0,-7.7575,110.3975,82,376
044c694a-a3d2-427c-8da0-5499f86deb82,-7.7525,110.3775,1,6
0462a8a3-79d4-4d2c-8334-b28dfcaa8ac9,-7.7675,110.4325,10,21
04719daa-7681-4ae0-b081-618c05484ecc,-7.7425,110.3925,483,1467
04901b7e-d461-4346-9658-4b49246ff9a5,-7.7475,110.4125,49,379
04a232e1-cf84-4af4-bd73-bedf4cad5a6c,-7.7475,110.4275,225,538
04a7e87e-a00e-479b-b1d6-efca997b841f,-7.7575,110.3975,18,47
04aea64a-a64a-709f-b523-e55171a36849,-7.7575,110.3975,6,13
04cf45a2-45a2-3fb1-8cc5-c4f04e5d4e49,-7.7525,110.3625,23,36
04cf4645-4645-a08b-ce47-e55c41b5a42e,-7.7575,110.3625,2,5
04d95072-d64f-498f-b083-922906f91580,-7.7625,110.3975,71,295
04f0bfea-1c50-4913-b5fe-962e9216b65e,-7.7475,110.3675,6,49
052d5ed1-f931-4a92-a5a1-05c26adfefc6,-7.7575,110.3825,3,17
053ec01e-3d00-427f-9e1b-13d3bad1f344,-7.7575,110.3825,1,5
0549a3ad-498b-4010-b90b-a3d67889a0d4,-7.7575,110.3825,2,10
056afe94-5fda-4e2b-95d9-957d3fb88ae5,-7.7625,110.3975,64,133
058037f6-37f6-dbd1-d66b-aff963619a77,-7.7575,110.3875,42,81
058ce632-e632-5eab-b561-7cb070a9b4e4,-7.7625,110.3925,1,6
058d052a-052a-165f-1fe7-b5a36461dac4,-7.7475,110.3725,26,190
0599ace1-a255-408e-9275-b5cefa1a310f,-7.7575,110.4025,4,27
05b2624e-624e-d071-e5f6-9d3d01e51232,-7.7625,110.3975,4,20
05cde578-1fa0-4aba-beff-c80cc1add468,-7.7575,110.4025,3,179
05e79d61-9988-47af-8323-7d5b6145b9e9,-7.7475,110.3625,1,11
05f95f6c-5f6c-0131-cb99-507e19186b77,-7.7475,110.3925,166,666
0612404b-c582-45c8-866f-d26143100b55,-7.7575,110.4125,1,115
0619a0c6-be84-41f0-aa96-9645dacc1b23,-7.7575,110.3875,1,166
06299c9f-7053-4440-894a-5ab46681da2f,-7.7575,110.3975,11,13
06308eb8-31f5-4017-a3ea-5c6d1e57f4c6,-7.7575,110.3925,1,6
06383632-1047-4a67-a473-a81f23336821,-7.7675,110.3775,9,354
06441d9b-1d9b-2ca4-e054-4612c571a363,-7.7575,110.3675,50,232
064d7663-7663-e085-bb19-bf8f62afa239,-7.7675,110.3675,1,30
0650f7e3-f7e3-3062-aea3-a6a639ddd143,-7.7575,110.4025,2,4
06666aaa-6aaa-5863-0804-3e0221ba15ac,-7.7675,110.3875,29,197
068f37c9-37c9-7529-5a63-e03feea7dfbb,-7.7625,110.3875,142,443
0697b90a-afba-4bd4-8cea-09100a8992fc,-7.7475,110.3725,21,431
06a8e28c-7dfe-41bc-8163-e1674e042fa1,-7.7575,110.3825,1,4
06be582f-f229-4908-81fa-4dc83b7867b2,-7.7575,110.3625,2,30
06c01701-2173-4a01-a583-9faca91358b3,-7.7475,110.3525,20,162
06c45927-5927-2c84-d95e-a1bd4c45fa06,-7.7675,110.3525,610,2789
06cd12c9-12c9-7749-fad4-abe6083ca411,-7.7525,110.3725,5,175
06ce8ea4-8ea4-4b6b-cef0-f85b07d07f26,-7.7575,110.3775,5,9
06ddfb05-fb05-6fd8-1ba7-901e816cc450,-7.7675,110.4075,2,174
06e0708b-6c42-4838-98c7-af41a868842d,-7.7475,110.4075,73,116
0704507f-b74f-49c3-a93d-c1c5b4bf8429,-7.7625,110.4125,92,764
071c59c1-3780-44bf-ba59-95c251704d44,-7.7575,110.3825,5,40
072f8674-60fd-4abf-a4c6-fa9888811d9b,-7.7575,110.3975,11,102
07481ade-1ade-dcf1-c854-10c2dcd324da,-7.7625,110.3975,3,14
07776696-78ec-4f0f-a379-5e12f23ee31e,-7.7425,110.3475,94,135
0778734a-734a-9b8d-9650-6e61f459d9cc,-7.7625,110.4025,70,126
0791d619-d619-f1fd-cdc5-b35cd7a7194d,-7.7525,110.3975,366,2021
07d25bde-8b65-40f6-9051-39d7c3b316cf,-7.7425,110.3475,1,127
07e8d629-d629-63d2-f6da-f3579264a976,-7.7625,110.3975,7,9
07f0706f-706f-671b-aa96-3d4c33013c9b,-7.7675,110.3425,85,238
08035bf0-5bf0-d4ee-1378-124200ad339c,-7.7525,110.3775,41,201
081df0cf-6bfd-415f-9889-af766465d8ef,-7.7625,110.4225,3,19
0822b2aa-b2aa-39e8-3db6-c009747a3a4f,-7.7575,110.3725,21,91
0822f496-3c2a-4449-9ad4-b0825e82bb19,-7.7625,110.3725,3,39
0838879c-879c-a3a4-20d7-349a30ad2305,-7.7675,110.4275,2,13
084a14ca-1673-47a2-2814-316b879f34d5,-7.7525,110.3725,1,59
0852c09f-ccbe-4449-9135-07379a58e37b,-7.7425,110.3725,3,6
087003a5-bd25-46cd-af9e-ba36a3a6c319,-7.7675,110.4075,3,42
08734412-4412-be12-c8d1-8d64b28d244e,-7.7525,110.3925,97,473
08791a2c-1a2c-831d-e568-423c42ca620b,-7.7475,110.3675,82,325
088c17bf-17bf-cd48-f685-4409d4053d31,-7.7625,110.3825,91,389
08ab290e-1a53-448d-ad86-6b41ab4fb569,-7.7675,110.3675,1,48
08b015d1-c66b-4f80-84b7-8d5c71ac5fbf,-7.7625,110.4075,1,22
08bc8ccc-f63d-4cb5-9d70-536cd4b6f2b7,-7.7475,110.3725,98,483
08cbb943-198d-4446-b72f-1ab43a19ea03,-7.7625,110.4125,107,704
08cf2231-e8ce-41d9-b683-3ee5dfcbe715,-7.7625,110.4125,1,1
08d02de9-2de9-bb1e-1c14-fa8bd4735b2c,-7.7575,110.3875,2,21
08f1787c-1cf7-432a-a49c-323ac8a08d1a,-7.7625,110.3675,154,656
08fe68fb-bb57-4366-be86-438257362928,-7.7475,110.3625,8,24
08fea617-a617-6062-ce42-84b03d15be32,-7.7625,110.3975,4,17
0903ad0c-f910-4ce5-ad64-7fa7a5df4dbc,-7.7475,110.3625,2,59
091ce913-6738-43c3-9a5d-c24db98db63b,-7.7675,110.3775,11,128
092dfdfa-3749-4fa2-b76e-11f890555138,-7.7425,110.3725,4,50
09371416-1416-bf8c-0e3a-a1d6598ec6b9,-7.7525,110.3625,5,18
093d8299-8299-7c9e-705c-650e1623456f,-7.7475,110.3625,1,4
094039ce-39ce-bdaa-1719-ba17ca866ec1,-7.7625,110.4225,3,23
09494aab-2d48-42f8-99b2-19a3af4ff2b4,-7.7625,110.3675,11,32
096693d4-93d4-b8cc-56e9-d45108ee0328,-7.7475,110.3575,2,4
0967f8ba-88aa-4b5e-8c8c-c8647c306d9c,-7.7575,110.4125,2,17
09b33703-3703-afb0-969c-6ced5cd5df11,-7.7525,110.3775,5,5
09cba1ca-0706-47e5-b0f6-d5c80c89ac18,-7.7525,110.4325,53,166
09d4bde7-a86e-469d-873d-748f85ed3ae4,-7.7675,110.4225,18,91
09e111c0-5db7-49a4-b89e-da7476a70180,-7.7475,110.4225,4,4
09f0fdfd-fdfd-4712-5f61-12974957cfb4,-7.7475,110.3625,3,10
0a07d494-f96f-49da-8e09-3992726a2b7e,-7.7675,110.3775,1,4
0a16a737-a737-31f4-71d1-eee973a66269,-7.7575,110.3975,4,23
0a206f44-e235-49e5-b793-6d31a014858a,-7.7475,110.3575,7,155
0a3cff0b-2f09-45ba-a26e-9c83aaf9f9d6,-7.7575,110.3975,320,1682
0a407aa3-ae7e-45b1-8a4c-63a0ade17629,-7.7425,110.3725,1,16
0a62ce23-f792-4735-81e0-d2458cfe151e,-7.7625,110.3925,2,20
0a8e7a3a-7a3a-ba66-9910-37d05477396e,-7.7625,110.3675,2,5
0a9c1952-72a1-4029-9499-91bbbfa127aa,-7.7475,110.3725,59,1135
0aad77e0-94a9-4412-9c82-b1a9a200349f,-7.7475,110.3725,6,73
0abb2303-2303-373b-6148-bb818f072cd3,-7.7475,110.3775,72,319
0adbec55-a26c-4bdf-b2d0-05d7ffa42079,-7.7575,110.3575,14,34
0ae2d8ad-d8ad-9eaf-f253-3b182cdde447,-7.7475,110.3975,25,109
0ae72266-a115-4dee-b0f8-4387ff4ee7b2,-7.7675,110.4225,16,145
0af54473-ec96-44c8-9b49-7e4fafad03cd,-7.7575,110.3825,15,41
0afda658-e3b7-45d5-ac06-011b57b8c19e,-7.7575,110.4275,23,155
