nearest_intersection,hour_wib,is_weekday,avg_maids,n_days
kronggahan,14,true,5.9,43
kronggahan,15,true,5.4,42
kronggahan,16,true,6.5,44
kronggahan,17,true,4.7,53
kronggahan,18,true,2.8,47
kronggahan,19,true,2.6,42
kronggahan,20,true,2.1,31
kronggahan,21,true,2.2,34
kronggahan,22,true,1.3,20
kronggahan,23,true,1.4,14
monjali,0,false,1.6,12
monjali,1,false,1.8,8
monjali,2,false,1.6,8
monjali,3,false,1.6,7
monjali,4,false,1.4,5
monjali,5,false,1.9,12
monjali,6,false,3.0,14
monjali,7,false,4.6,15
monjali,8,false,6.4,18
monjali,9,false,7.1,19
monjali,10,false,8.7,24
monjali,11,false,10.6,25
monjali,12,false,11.6,23
monjali,13,false,15.2,23
monjali,14,false,14.7,22
monjali,15,false,13.6,21
monjali,16,false,15.3,21
monjali,17,false,10.7,26
monjali,18,false,9.2,21
monjali,19,false,7.4,20
monjali,20,false,8.2,20
monjali,21,false,4.7,22
monjali,22,false,3.2,21
monjali,23,false,2.4,11
monjali,0,true,1.5,22
monjali,1,true,2.0,12
monjali,2,true,1.9,11
monjali,3,true,1.3,14
monjali,4,true,1.4,12
monjali,5,true,1.5,27
monjali,6,true,2.3,38
monjali,7,true,7.1,48
monjali,8,true,7.6,49
monjali,9,true,6.3,59
monjali,10,true,9.4,59
monjali,11,true,9.6,60
monjali,12,true,9.7,56
monjali,13,true,12.7,52
monjali,14,true,12.9,50
monjali,15,true,10.7,56
monjali,16,true,13.4,51
monjali,17,true,10.9,56
monjali,18,true,7.1,52
monjali,19,true,6.4,48
monjali,20,true,4.9,52
monjali,21,true,4.5,47
monjali,22,true,2.6,36
monjali,23,true,2.0,24
upn,0,false,1.3,9
upn,1,false,1.1,7
upn,2,false,1.1,9
upn,3,false,1.7,3
upn,4,false,1.8,5
upn,5,false,2.1,11
upn,6,false,2.5,13
upn,7,false,3.4,20
upn,8,false,5.0,21
upn,9,false,5.7,21
upn,10,false,7.6,18
upn,11,false,8.0,25
upn,12,false,7.1,25
upn,13,false,11.8,21
upn,14,false,9.4,22
upn,15,false,9.8,22
upn,16,false,11.6,20
upn,17,false,8.9,21
upn,18,false,6.0,22
upn,19,false,5.6,18
upn,20,false,3.9,21
upn,21,false,5.3,19
upn,22,false,1.9,21
upn,23,false,1.8,12
upn,0,true,1.3,31
upn,1,true,1.3,15
upn,2,true,1.3,18
upn,3,true,1.4,13
upn,4,true,1.4,15
upn,5,true,1.4,31
upn,6,true,1.9,54
upn,7,true,4.6,65
upn,8,true,4.6,63
upn,9,true,5.9,60
upn,10,true,6.4,64
upn,11,true,6.5,64
upn,12,true,7.8,58
upn,13,true,7.8,58
upn,14,true,7.8,64
upn,15,true,10.0,49
upn,16,true,9.7,53
upn,17,true,7.1,60
upn,18,true,4.8,50
upn,19,true,4.0,43
upn,20,true,4.1,38
upn,21,true,3.1,43
upn,22,true,2.1,34
upn,23,true,1.6,33
