nearest_intersection,date_wib,n_maids,n_pings,dow,is_weekday,month
condongcatur,2022-02-27,6,37,6,false,2022-02
condongcatur,2022-02-28,5,14,0,true,2022-02
condongcatur,2022-03-01,4,12,1,true,2022-03
condongcatur,2022-03-02,4,22,2,true,2022-03
condongcatur,2022-03-03,1,2,3,true,2022-03
condongcatur,2022-03-05,2,4,5,false,2022-03
condongcatur,2022-03-06,5,48,6,false,2022-03
condongcatur,2022-03-07,2,4,0,true,2022-03
condongcatur,2022-03-08,3,11,1,true,2022-03
condongcatur,2022-03-09,1,2,2,true,2022-03
condongcatur,2022-03-10,2,16,3,true,2022-03
condongcatur,2022-03-11,4,34,4,true,2022-03
condongcatur,2022-03-12,2,4,5,false,2022-03
condongcatur,2022-03-13,4,12,6,false,2022-03
condongcatur,2022-03-15,8,44,1,true,2022-03
condongcatur,2022-03-16,2,4,2,true,2022-03
condongcatur,2022-03-17,2,4,3,true,2022-03
condongcatur,2022-03-18,2,4,4,true,2022-03
condongcatur,2022-03-19,3,17,5,false,2022-03
condongcatur,2022-03-20,5,36,6,false,2022-03
condongcatur,2022-03-21,3,15,0,true,2022-03
condongcatur,2022-03-23,2,3,2,true,2022-03
condongcatur,2022-03-24,4,8,3,true,2022-03
condongcatur,2022-03-25,4,6,4,true,2022-03
condongcatur,2022-03-26,4,20,5,false,2022-03
condongcatur,2022-03-27,3,12,6,false,2022-03
condongcatur,2022-03-28,6,27,0,true,2022-03
condongcatur,2022-03-29,2,11,1,true,2022-03
condongcatur,2022-03-30,2,3,2,true,2022-03
condongcatur,2022-03-31,5,22,3,true,2022-03
condongcatur,2022-04-01,1,2,4,true,2022-04
condongcatur,2022-04-05,1,1,1,true,2022-04
condongcatur,2022-04-06,1,2,2,true,2022-04
condongcatur,2022-04-11,1,1,0,true,2022-04
condongcatur,2022-04-12,1,1,1,true,2022-04
condongcatur,2022-04-13,3,6,2,true,2022-04
condongcatur,2022-04-20,1,2,2,true,2022-04
condongcatur,2022-04-21,1,1,3,true,2022-04
condongcatur,2022-04-22,1,2,4,true,2022-04
condongcatur,2022-04-24,1,3,6,false,2022-04
condongcatur,2022-04-25,1,2,0,true,2022-04
condongcatur,2022-05-02,1,1,0,true,2022-05
condongcatur,2022-05-03,2,3,1,true,2022-05
condongcatur,2022-05-04,3,11,2,true,2022-05
condongcatur,2022-05-06,1,1,4,true,2022-05
condongcatur,2022-05-07,2,9,5,false,2022-05
condongcatur,2022-05-08,2,8,6,false,2022-05
condongcatur,2022-05-14,1,4,5,false,2022-05
condongcatur,2022-05-15,1,2,6,false,2022-05
condongcatur,2022-05-16,77,171,0,true,2022-05
condongcatur,2022-05-17,120,232,1,true,2022-05
condongcatur,2022-05-18,139,297,2,true,2022-05
condongcatur,2022-05-19,149,362,3,true,2022-05
condongcatur,2022-05-20,144,360,4,true,2022-05
condongcatur,2022-05-21,203,586,5,false,2022-05
condongcatur,2022-05-22,169,514,6,false,2022-05
condongcatur,2022-05-23,146,368,0,true,2022-05
condongcatur,2022-05-24,161,323,1,true,2022-05
condongcatur,2022-05-25,144,343,2,true,2022-05
condongcatur,2022-05-26,185,426,3,true,2022-05
condongcatur,2022-05-27,225,654,4,true,2022-05
condongcatur,2022-05-28,268,706,5,false,2022-05
condongcatur,2022-05-29,213,529,6,false,2022-05
condongcatur,2022-05-30,173,363,0,true,2022-05
condongcatur,2022-05-31,126,367,1,true,2022-05
condongcatur,2022-06-01,13,38,2,true,2022-06
condongcatur,2022-06-02,220,585,3,true,2022-06
condongcatur,2022-06-03,221,607,4,true,2022-06
condongcatur,2022-06-04,234,604,5,false,2022-06
condongcatur,2022-06-05,58,133,6,false,2022-06
condongcatur,2022-06-07,1,2,1,true,2022-06
jombor,2021-10-25,3,5,0,true,2021-10
jombor,2021-10-26,1,2,1,true,2021-10
jombor,2021-10-27,2,4,2,true,2021-10
jombor,2021-10-28,5,16,3,true,2021-10
jombor,2021-10-29,4,15,4,true,2021-10
jombor,2021-10-30,3,9,5,false,2021-10
jombor,2021-10-31,4,25,6,false,2021-10
jombor,2021-11-01,3,24,0,true,2021-11
jombor,2021-11-02,2,5,1,true,2021-11
jombor,2021-11-03,1,7,2,true,2021-11
jombor,2021-11-04,3,7,3,true,2021-11
jombor,2021-11-05,1,5,4,true,2021-11
jombor,2021-11-06,3,5,5,false,2021-11
jombor,2021-11-07,1,7,6,false,2021-11
jombor,2021-11-09,2,14,1,true,2021-11
jombor,2021-11-10,2,8,2,true,2021-11
jombor,2021-11-11,2,22,3,true,2021-11
jombor,2021-11-12,3,11,4,true,2021-11
jombor,2021-11-14,2,9,6,false,2021-11
jombor,2021-11-15,2,23,0,true,2021-11
jombor,2021-11-16,2,11,1,true,2021-11
jombor,2021-11-17,1,2,2,true,2021-11
jombor,2021-11-18,1,2,3,true,2021-11
jombor,2021-11-19,1,2,4,true,2021-11
jombor,2021-11-20,5,24,5,false,2021-11
jombor,2021-11-21,3,10,6,false,2021-11
jombor,2021-11-22,5,11,0,true,2021-11
jombor,2021-11-23,2,6,1,true,2021-11
jombor,2021-11-24,2,9,2,true,2021-11
jombor,2021-11-25,2,5,3,true,2021-11
jombor,2021-11-26,2,8,4,true,2021-11
jombor,2021-11-27,4,20,5,false,2021-11
jombor,2021-12-01,1,2,2,true,2021-12
jombor,2021-12-02,1,6,3,true,2021-12
jombor,2021-12-03,2,4,4,true,2021-12
jombor,2021-12-04,1,2,5,false,2021-12
jombor,2021-12-06,1,2,0,true,2021-12
jombor,2021-12-07,3,7,1,true,2021-12
jombor,2021-12-10,2,6,4,true,2021-12
jombor,2021-12-13,1,2,0,true,2021-12
jombor,2021-12-15,2,4,2,true,2021-12
jombor,2021-12-17,1,2,4,true,2021-12
jombor,2021-12-19,2,4,6,false,2021-12
jombor,2021-12-20,1,2,0,true,2021-12
jombor,2021-12-21,1,2,1,true,2021-12
